Index,Cycle,Step,StepSeq,Mode,TestTime_s,StepTime_s,Voltage_V,Current_mA,Capacity_mAh,Energy_mWh,DateTime
151,2,2,4,CC_DChg,8769.68,1920,1.2975,-0.03968,0.0211923,0.0304425,2026-07-16 06:46:56.680
152,2,2,4,CC_DChg,8829.68,1980,1.28185,-0.03999,0.0218547,0.0312965,2026-07-16 06:47:56.680
153,2,2,4,CC_DChg,8889.68,2040,1.27503,-0.03968,0.022517,0.0321427,2026-07-16 06:48:56.680
154,2,2,4,CC_DChg,8949.68,2100,1.27581,-0.03999,0.0231794,0.0329874,2026-07-16 06:49:56.680
155,2,2,4,CC_DChg,9009.68,2160,1.27813,-0.03968,0.0238421,0.0338336,2026-07-16 06:50:56.680
156,2,2,4,CC_DChg,9069.68,2220,1.27921,-0.03968,0.0245043,0.0346806,2026-07-16 06:51:56.680
157,2,2,4,CC_DChg,9129.68,2280,1.27844,-0.03968,0.0251666,0.0355277,2026-07-16 06:52:56.680
158,2,2,4,CC_DChg,9189.68,2340,1.27596,-0.03968,0.0258291,0.0363739,2026-07-16 06:53:56.680
159,2,2,4,CC_DChg,9249.68,2400,1.27239,-0.03968,0.0264911,0.0372175,2026-07-16 06:54:56.680
160,2,2,4,CC_DChg,9309.68,2460,1.26713,-0.03968,0.0271533,0.0380586,2026-07-16 06:55:56.680
161,2,2,4,CC_DChg,9369.68,2520,1.26062,-0.03968,0.0278157,0.0388959,2026-07-16 06:56:56.680
162,2,2,4,CC_DChg,9429.68,2580,1.25271,-0.03968,0.0284778,0.0397282,2026-07-16 06:57:56.680
163,2,2,4,CC_DChg,9489.68,2640,1.24294,-0.03968,0.0291404,0.0405551,2026-07-16 06:58:56.680
164,2,2,4,CC_DChg,9549.68,2700,1.23023,-0.03968,0.0298027,0.0413742,2026-07-16 06:59:56.680
165,2,2,4,CC_DChg,9609.68,2760,1.21489,-0.03968,0.0304651,0.0421843,2026-07-16 07:00:56.680
166,2,2,4,CC_DChg,9669.68,2820,1.19629,-0.03968,0.0311275,0.0429831,2026-07-16 07:01:56.680
167,2,2,4,CC_DChg,9729.68,2880,1.17273,-0.03968,0.0317896,0.0437677,2026-07-16 07:02:56.680
168,2,2,4,CC_DChg,9789.68,2940,1.14343,-0.03968,0.0324518,0.044535,2026-07-16 07:03:56.680
